Name	Input(s)	Output(s)	Duration	Produced With	Changes
Blade Runners	Quickwire(50), Modular Frame(3), Rotor(3)	Blade Runners(1)	80	Workshop	
Caterium Ingot	Caterium Ore(3)	Caterium Ingot(1)	4	Smelter, Workbench	Duration Changed(16.0=>4.0)
Alternate: Heavy Flexible Frame	Modular Frame(5), Encased Industrial Beam(3), Rubber(20), Screw(104)	Heavy Modular Frame(1)	16	Manufacturer	new
Manufacturer	Motor(5), Heavy Modular Frame(10), Cable(50), Plastic(50)	Manufacturer(1)	1	Build Tool	Input Amt Changed: Heavy Modular Frame(5=>10), Input Amt Changed: Cable(25=>50), Input Added: Plastic(50), Input Removed: Computer(5)
Computer	Circuit Board(10), Cable(9), Plastic(18), Screw(52)	Computer(1)	24	Manufacturer, Workbench	Input Amt Changed: Cable(12=>9), Input Amt Changed: Screw(60=>52), Duration Changed(32.0=>24.0)
Heavy Modular Frame	Modular Frame(5), Steel Pipe(15), Encased Industrial Beam(5), Screw(100)	Heavy Modular Frame(1)	30	Manufacturer, Workbench	Input Amt Changed: Screw(90=>100)
Modular Engine	Motor(2), Rubber(15), Smart Plating(2)	Modular Engine(1)	60	Manufacturer	new
Adaptive Control Unit	Automated Wiring(15), Circuit Board(10), Heavy Modular Frame(2), Computer(2)	Adaptive Control Unit(2)	120	Manufacturer	new
Truck	Motor(8), Computer(10), Heavy Modular Frame(4), Rubber(50), Beacon(10)	Truck(1)	1	Build Tool	Input Amt Changed: Computer(5=>10), Input Amt Changed: Heavy Modular Frame(2=>4)
Alternate: Heavy Oil Residue	Crude Oil(3)	Heavy Oil Residue(4), Polymer Resin(2)	6	Oil Refinery	new
Alternate: High-Speed Wiring	Stator(2), Cable(40), High-Speed Connector(2)	Automated Wiring(4)	32	Manufacturer	new
Encased Industrial Beam	Steel Beam(4), Concrete(5)	Encased Industrial Beam(1)	10	Assembler, Workbench	Duration Changed(15.0=>10.0)
Motor	Rotor(2), Stator(2)	Motor(1)	12	Assembler, Workbench	
Stator	Steel Pipe(3), Wire(8)	Stator(1)	12	Assembler, Workbench	Input Amt Changed: Wire(10=>8), Duration Changed(10.0=>12.0)
Miner Mk.2	Portable Miner(2), Encased Industrial Beam(10), Steel Pipe(20), Modular Frame(10)	Miner Mk.2(1)	1	Build Tool	Input Amt Changed: Encased Industrial Beam(5=>10), Input Amt Changed: Steel Pipe(10=>20), Input Added: Modular Frame(10), Input Removed: Cable(15)
Automated Wiring	Stator(3), Cable(60)	Automated Wiring(3)	72	Assembler	new
A.I. Limiter	Copper Sheet(5), Quickwire(20)	A.I. Limiter(1)	12	Assembler, Workbench	Input Added: Copper Sheet(5), Input Amt Changed: Quickwire(18=>20), Input Removed: Circuit Board(2)
Alternate: Plastic Smart Plating	Reinforced Iron Plate(1), Rotor(2), Plastic(3)	Smart Plating(2)	24	Manufacturer	new
Alternate: Polyester Fabric	Polymer Resin(16), Water(10)	Fabric(1)	12	Oil Refinery	new
Fabric	Mycelia(1), Biomass(5)	Fabric(1)	4	Assembler, Workbench	
Alternate: Polymer Resin	Crude Oil(6)	Polymer Resin(13), Heavy Oil Residue(2)	6	Oil Refinery	new
Alternate: Pure Aluminum Ingot	Aluminum Scrap(12)	Aluminum Ingot(3)	5	Smelter	new
Alternate: Pure Caterium Ingot	Caterium Ore(2), Water(2)	Caterium Ingot(1)	5	Oil Refinery	new
Coal Generator	Reinforced Iron Plate(20), Rotor(10), Cable(30)	Coal Generator(1)	1	Build Tool	Input Added: Reinforced Iron Plate(20), Input Amt Changed: Rotor(5=>10), Input Amt Changed: Cable(15=>30), Input Removed: Modular Frame(3)
Pipeline Support	Iron Plate(2), Concrete(2)	Pipeline Support(1)	1	Build Tool	new
Pipeline	Copper Sheet(1)	Pipeline(1)	1	Build Tool	new
Pipeline Junction Cross	Copper Sheet(5)	Pipeline Junction Cross(1)	1	Build Tool	new
Pipeline Pump	Copper Sheet(2), Rotor(2)	Pipeline Pump(1)	1	Build Tool	new
Industrial Fluid Buffer	Copper Sheet(10), Modular Frame(5)	Industrial Fluid Buffer(1)	1	Build Tool	new
Water Extractor	Copper Sheet(20), Reinforced Iron Plate(10), Rotor(10)	Water Extractor(1)	1	Build Tool	new
Alternate: Pure Copper Ingot	Copper Ore(6), Water(4)	Copper Ingot(15)	24	Oil Refinery	new
Alternate: Pure Iron Ingot	Iron Ore(7), Water(4)	Iron Ingot(13)	12	Oil Refinery	new
Alternate: Pure Quartz Crystal	Raw Quartz(9), Water(5)	Quartz Crystal(7)	8	Oil Refinery	new
Quartz Crystal	Raw Quartz(5)	Quartz Crystal(3)	8	Constructor, Workbench	Input Amt Changed: Raw Quartz(2=>5), Output Amt Changed: Quartz Crystal(1=>3), Duration Changed(4.0=>8.0)
Alternate: Recycled Rubber	Plastic(5), Fuel(6)	Rubber(12)	12	Oil Refinery	new
Alternate: Rubber Concrete	Limestone(10), Rubber(4)	Concrete(9)	12	Assembler	new
Alternate: Steamed Copper Sheet	Copper Ingot(3), Water(3)	Copper Sheet(3)	8	Oil Refinery	new
Alternate: Steel Coated Plate	Steel Ingot(4), Plastic(4)	Iron Plate(15)	24	Assembler	new
Alternate: Steel Rod	Steel Ingot(1)	Iron Rod(4)	5	Constructor	new
Foundry	Modular Frame(10), Rotor(10), Concrete(20)	Foundry(1)	1	Build Tool	Input Added: Modular Frame(10), Input Added: Rotor(10), Input Removed: Encased Industrial Beam(5), Input Removed: Steel Pipe(15)
Steel Beam	Steel Ingot(4)	Steel Beam(1)	4	Constructor, Workbench	Input Amt Changed: Steel Ingot(3=>4), Duration Changed(6.0=>4.0)
Steel Pipe	Steel Ingot(3)	Steel Pipe(2)	6	Constructor, Workbench	Input Amt Changed: Steel Ingot(1=>3), Output Amt Changed: Steel Pipe(1=>2), Duration Changed(4.0=>6.0)
Steel Ingot	Iron Ore(3), Coal(3)	Steel Ingot(3)	4	Foundry, Workbench	Output Amt Changed: Steel Ingot(2=>3), Duration Changed(16.0=>4.0)
Versatile Framework	Modular Frame(1), Steel Beam(12)	Versatile Framework(2)	24	Assembler	new
Alternate: Turbo Heavy Fuel	Heavy Oil Residue(5), Compacted Coal(4)	Turbofuel(4)	8	Oil Refinery	new
Packaged Turbofuel	Turbofuel(1), Empty Canister(1)	Packaged Turbofuel(1)	6	Oil Refinery	new
Unpackage Turbo Fuel	Packaged Turbofuel(1)	Turbofuel(1), Empty Canister(1)	12	Oil Refinery	new
Alternate: Wood Coal	Wood(1)	Coal(10)	4	Constructor	
Alternate: Biomass Coal	Biomass(5)	Coal(6)	8	Constructor	
Alternate: Compacted Coal	Coal(5), Sulfur(5)	Compacted Coal(5)	12	Assembler	Input Amt Changed: Coal(3=>5), Input Amt Changed: Sulfur(3=>5), Output Amt Changed: Compacted Coal(3=>5), Duration Changed(6.0=>12.0)
Alternate: Wet Concrete	Limestone(12), Water(5)	Concrete(8)	6	Oil Refinery	new
Alternate: Crystal Beacon	Steel Beam(4), Steel Pipe(16), Crystal Oscillator(1)	Beacon(20)	120	Manufacturer	Input Amt Changed: Steel Beam(1=>4), Input Amt Changed: Steel Pipe(4=>16), Output Amt Changed: Beacon(5=>20), Duration Changed(32.0=>120.0)
Alternate: Insulated Cable	Wire(9), Rubber(6)	Cable(20)	12	Assembler	Input Amt Changed: Wire(3=>9), Input Amt Changed: Rubber(2=>6), Output Amt Changed: Cable(10=>20), Duration Changed(8.0=>12.0)
Alternate: Quickwire Cable	Quickwire(3), Rubber(2)	Cable(9)	24	Assembler	Input Amt Changed: Quickwire(4=>3), Output Amt Changed: Cable(12=>9), Duration Changed(8.0=>24.0)
Alternate: Silicone Circuit Board	Copper Sheet(11), Silica(11)	Circuit Board(5)	24	Assembler	Input Added: Copper Sheet(11), Input Added: Silica(11), Input Removed: Rubber(16), Input Removed: Wire(24), Output Amt Changed: Circuit Board(6=>5)
Alternate: Caterium Circuit Board	Plastic(10), Quickwire(30)	Circuit Board(7)	48	Assembler	Input Amt Changed: Plastic(12=>10), Output Amt Changed: Circuit Board(6=>7), Duration Changed(24.0=>48.0)
Alternate: Caterium Computer	Circuit Board(7), Quickwire(28), Rubber(12)	Computer(1)	16	Manufacturer	Input Amt Changed: Circuit Board(20=>7), Input Amt Changed: Quickwire(80=>28), Input Amt Changed: Rubber(48=>12), Output Amt Changed: Computer(3=>1), Duration Changed(64.0=>16.0)
Alternate: Crystal Computer	Circuit Board(8), Crystal Oscillator(3)	Computer(3)	64	Assembler	Input Amt Changed: Circuit Board(4=>8), Input Amt Changed: Crystal Oscillator(1=>3), Output Amt Changed: Computer(1=>3), Duration Changed(24.0=>64.0)
Alternate: Fine Concrete	Silica(5), Limestone(12)	Concrete(10)	24	Assembler	Input Amt Changed: Silica(1=>5), Input Amt Changed: Limestone(4=>12), Output Amt Changed: Concrete(3=>10), Duration Changed(8.0=>24.0)
Alternate: Insulated Crystal Oscillator	Quartz Crystal(10), Rubber(7), A.I. Limiter(1)	Crystal Oscillator(1)	32	Manufacturer	Input Amt Changed: Quartz Crystal(20=>10), Input Amt Changed: Rubber(24=>7), Output Amt Changed: Crystal Oscillator(3=>1), Duration Changed(64.0=>32.0)
Crystal Oscillator	Quartz Crystal(36), Cable(28), Reinforced Iron Plate(5)	Crystal Oscillator(2)	120	Manufacturer, Workbench	Input Amt Changed: Quartz Crystal(10=>36), Input Amt Changed: Cable(14=>28), Input Amt Changed: Reinforced Iron Plate(4=>5), Output Amt Changed: Crystal Oscillator(1=>2), Duration Changed(32.0=>120.0)
Alternate: Electromagnetic Connection Rod	Stator(6), High-Speed Connector(3)	Electromagnetic Control Rod(6)	60	Assembler	Output Amt Changed: Electromagnetic Control Rod(3=>6)
Freight Platform	Heavy Modular Frame(6), Computer(2), Concrete(50), Cable(25), Motor(5)	Freight Platform(1)	1	Build Tool	
Train Station	Heavy Modular Frame(4), Computer(8), Concrete(50), Cable(25)	Train Station(1)	1	Build Tool	
Railway	Steel Pipe(1), Steel Beam(1)	Railway(1)	1	Build Tool	
Sulfuric Acid	Sulfur(5), Water(5)	Sulfuric Acid(10)	6	Oil Refinery	new
Uranium Pellet	Uranium(5), Sulfuric Acid(8)	Uranium Pellet(5), Sulfuric Acid(2)	6	Oil Refinery	new
Freight Car	Heavy Modular Frame(4), Steel Pipe(10)	Freight Car(1)	1	Build Tool	
Electric Locomotive	Heavy Modular Frame(5), Motor(10), Steel Pipe(15), Computer(5), Beacon(5)	Electric Locomotive(1)	1	Build Tool	
Alternate: Fine Black Powder	Sulfur(2), Compacted Coal(1)	Black Powder(4)	16	Assembler	
Alternate: Heat Exchanger	Alclad Aluminum Sheet(20), Copper Sheet(30)	Heat Sink(7)	32	Assembler	Input Amt Changed: Alclad Aluminum Sheet(8=>20), Input Added: Copper Sheet(30), Input Removed: Wire(36), Output Amt Changed: Heat Sink(3=>7), Duration Changed(24.0=>32.0)
Heat Sink	Alclad Aluminum Sheet(8), Rubber(14)	Heat Sink(2)	12	Assembler, Workbench	Input Amt Changed: Alclad Aluminum Sheet(4=>8), Input Amt Changed: Rubber(10=>14), Output Amt Changed: Heat Sink(1=>2)
Miner Mk.3	Portable Miner(3), Heavy Modular Frame(4), Steel Pipe(20), Turbo Motor(5), Computer(5)	Miner Mk.3(1)	1	Build Tool	
Battery	Alclad Aluminum Sheet(8), Wire(16), Sulfur(20), Plastic(8)	Battery(3)	32	Manufacturer, Workbench	Input Amt Changed: Wire(24=>16), Input Amt Changed: Plastic(9=>8)
Turbo Motor	Heat Sink(4), Radio Control Unit(2), Motor(4), Rubber(24)	Turbo Motor(1)	32	Manufacturer, Workbench	Input Amt Changed: Rubber(40=>24)
Radio Control Unit	Heat Sink(4), Rubber(16), Crystal Oscillator(1), Computer(1)	Radio Control Unit(1)	24	Manufacturer, Workbench	Input Amt Changed: Rubber(24=>16)
Alternate: Heavy Encased Frame	Modular Frame(8), Encased Industrial Beam(10), Steel Pipe(36), Concrete(22)	Heavy Modular Frame(3)	64	Manufacturer	Input Amt Changed: Concrete(25=>22)
Alternate: Silicone High-Speed Connector	Quickwire(60), Silica(25), Circuit Board(2)	High-Speed Connector(2)	40	Manufacturer	Input Amt Changed: Quickwire(66=>60), Input Amt Changed: Silica(48=>25), Input Added: Circuit Board(2), Input Removed: Rubber(18), Output Amt Changed: High-Speed Connector(3=>2), Duration Changed(48.0=>40.0)
High-Speed Connector	Quickwire(56), Cable(10), Circuit Board(1)	High-Speed Connector(1)	16	Manufacturer, Workbench	Input Amt Changed: Quickwire(40=>56), Input Added: Circuit Board(1), Input Removed: Plastic(6), Duration Changed(24.0=>16.0)
Alternate: Iron Alloy Ingot	Iron Ore(2), Copper Ore(2)	Iron Ingot(5)	6	Foundry	Input Amt Changed: Iron Ore(1=>2), Input Amt Changed: Copper Ore(1=>2), Output Amt Changed: Iron Ingot(3=>5), Duration Changed(16.0=>6.0)
Alternate: Solid Steel Ingot	Iron Ingot(2), Coal(2)	Steel Ingot(3)	3	Foundry	Input Amt Changed: Iron Ingot(3=>2), Input Amt Changed: Coal(6=>2), Output Amt Changed: Steel Ingot(6=>3), Duration Changed(32.0=>3.0)
Alternate: Compacted Steel Ingot	Iron Ore(6), Compacted Coal(3)	Steel Ingot(10)	16	Foundry	Output Amt Changed: Steel Ingot(6=>10), Duration Changed(32.0=>16.0)
Alternate: Steeled Frame	Reinforced Iron Plate(2), Steel Pipe(10)	Modular Frame(3)	60	Assembler	Input Amt Changed: Reinforced Iron Plate(6=>2), Input Amt Changed: Steel Pipe(6=>10), Duration Changed(30.0=>60.0)
Alternate: Rigour Motor	Rotor(3), Stator(3), Crystal Oscillator(1)	Motor(5)	40	Manufacturer	Input Amt Changed: Rotor(2=>3), Input Amt Changed: Stator(2=>3), Output Amt Changed: Motor(3=>5), Duration Changed(24.0=>40.0)
Alternate: Seismic Nobelisk	Black Powder(8), Steel Pipe(8), Crystal Oscillator(1)	Nobelisk(4)	40	Manufacturer	Input Amt Changed: Black Powder(10=>8), Input Amt Changed: Steel Pipe(10=>8), Output Amt Changed: Nobelisk(3=>4)
Nobelisk	Black Powder(5), Steel Pipe(10)	Nobelisk(1)	20	Workshop, Assembler	Input Amt Changed: Steel Pipe(5=>10), Input Removed: Beacon(1)
Alternate: Nuclear Fuel Unit	Encased Uranium Cell(50), Electromagnetic Control Rod(10), Crystal Oscillator(3), Beacon(6)	Nuclear Fuel Rod(3)	300	Manufacturer	
Alternate: Recycled Plastic	Rubber(6), Fuel(5)	Plastic(12)	12	Oil Refinery	Input Amt Changed: Rubber(8=>6), Input Added: Fuel(5), Input Removed: Packaged Fuel(5), Output Amt Changed: Plastic(9=>12), Duration Changed(16.0=>12.0)
Alternate: Fused Quckwire	Caterium Ingot(1), Copper Ingot(5)	Quickwire(12)	8	Assembler	Input Amt Changed: Copper Ingot(2=>5)
Alternate: Radio Control System	Heat Sink(10), Supercomputer(1), Quartz Crystal(30)	Radio Control Unit(3)	48	Manufacturer	
Alternate: Bolted Iron Plate	Iron Plate(16), Screw(50)	Reinforced Iron Plate(3)	12	Assembler	Input Amt Changed: Iron Plate(10=>16), Input Amt Changed: Screw(24=>50), Duration Changed(24.0=>12.0)
Alternate: Stitched Iron Plate	Iron Plate(10), Wire(26)	Reinforced Iron Plate(3)	32	Assembler	Input Amt Changed: Iron Plate(6=>10), Input Amt Changed: Wire(30=>26), Duration Changed(24.0=>32.0)
Alternate: Encased Industrial Pipe	Steel Pipe(7), Concrete(5)	Encased Industrial Beam(1)	15	Assembler	Input Amt Changed: Steel Pipe(18=>7), Input Amt Changed: Concrete(10=>5), Output Amt Changed: Encased Industrial Beam(3=>1), Duration Changed(30.0=>15.0)
Alternate: Steel Rotor	Steel Pipe(2), Wire(12)	Rotor(1)	12	Assembler	Input Amt Changed: Steel Pipe(6=>2), Input Amt Changed: Wire(20=>12), Output Amt Changed: Rotor(3=>1), Duration Changed(20.0=>12.0)
Alternate: Casted Screw	Iron Ingot(5)	Screw(20)	24	Constructor	Input Amt Changed: Iron Ingot(2=>5), Output Amt Changed: Screw(12=>20), Duration Changed(8.0=>24.0)
Alternate: Steel Screw	Steel Beam(1)	Screw(52)	12	Constructor	Output Amt Changed: Screw(36=>52)
